month,member_casual,ride_count,avg_ride_length
1,casual,24460,21.307195421095667
1,member,120413,13.78719075182912
2,casual,47163,25.188601234018194
2,member,176001,12.914409577218311
3,casual,82550,24.95596608116293
3,member,219137,11.9689418035293
4,casual,131810,26.001337910628937
4,member,283215,12.355192639278757
5,casual,231150,28.0370232172471
5,member,378554,13.505157432405063
6,casual,301169,27.70554843515324
6,member,409578,13.887121744820279
7,casual,320581,27.94756894513399
7,member,428423,13.721472897891413
8,casual,318398,25.798697751451538
8,member,437406,13.39638230842741
9,casual,346494,21.371681472117846
9,member,474373,12.197623986469157
10,casual,216452,23.271038536642457
10,member,399840,11.98951005402161
11,casual,93062,19.40064383600897
11,member,241980,11.094237746921232
12,casual,38369,17.542431389924158
12,member,139990,10.752490535038216
