member_casual,hour,ride_count
casual,0,35460
casual,1,23741
casual,2,14754
casual,3,8203
casual,4,6454
casual,5,12126
casual,6,28781
casual,7,53526
casual,8,75794
casual,9,76638
casual,10,94484
casual,11,120311
casual,12,142404
casual,13,148500
casual,14,154730
casual,15,170121
casual,16,191479
casual,17,203983
casual,18,173997
casual,19,128360
casual,20,93883
casual,21,78035
casual,22,68127
casual,23,47767
member,0,32771
member,1,20099
member,2,11400
member,3,7828
member,4,8718
member,5,34612
member,6,104034
member,7,200406
member,8,255332
member,9,173879
member,10,153280
member,11,179020
member,12,204773
member,13,204649
member,14,205006
member,15,251233
member,16,343085
member,17,393216
member,18,306692
member,19,215180
member,20,150855
member,21,115880
member,22,83985
member,23,52977
