"member_casual","day_of_week","average_ride_length","total_rides"
"casual","Sun",29.5015002105205,368926
"casual","Mon",24.2109889189923,252835
"casual","Tue",21.5730673139155,231750
"casual","Wed",22.3558415050946,268404
"casual","Thu",21.9800414660852,264232
"casual","Fri",24.6023516385569,314901
"casual","Sat",28.2873528327385,443911
"member","Sun",14.3142926215682,416055
"member","Mon",12.2459528396687,533061
"member","Tue",12.3216522816758,568880
"member","Wed",12.4988781036386,607929
"member","Thu",12.2981135166567,568686
"member","Fri",12.4665600877819,524025
"member","Sat",14.1247149134735,478042
